구별,인구수,한국인,외국인,고령자,한국인 비율,외국인 비율,고령자 비율,총계,증가율
종로구,154318,145512,8806,27776,0.942936015241255,0.057063984758744926,0.1799919646444355,1772,21.5
중구,131943,122858,9085,24225,0.931144509371471,0.06885549062852898,0.18360200995884587,2333,80.05540166204986
용산구,238300,224145,14155,38906,0.9406000839278221,0.05939991607217793,0.16326479227864038,2383,0.0
성동구,294140,287820,6320,46053,0.9785136329638947,0.021486367036105257,0.1565683008091385,3602,16.48590021691974
광진구,353380,341112,12268,51278,0.9652838304374894,0.03471616956251061,0.14510724998585092,2588,18.285714285714285
동대문구,351626,337846,13780,61759,0.9608106340259253,0.03918936597407473,0.17563832026073156,2497,28.251121076233183
중랑구,393149,388554,4595,70908,0.9883123192479187,0.011687680752081271,0.18035910049370596,3296,0.42598509052183176
성북구,441717,432628,9089,74235,0.9794234770226186,0.020576522977381446,0.1680600927743329,3958,74.9003984063745
강북구,304257,300887,3370,63914,0.9889238374137653,0.011076162586234664,0.21006583250344282,2462,6.63265306122449
도봉구,320711,318718,1993,63448,0.9937856824368356,0.006214317563164345,0.19783543439420537,1629,197.02380952380955
노원구,517038,513053,3985,87537,0.9922926361311935,0.0077073638688065485,0.169304770635814,2415,26.94300518134715
은평구,477961,474062,3899,86724,0.9918424306585684,0.008157569341431622,0.18144576649559274,3791,45.48611111111111
서대문구,316415,306249,10166,54056,0.967871308250241,0.03212869174975902,0.17083892988638338,2940,0.2518891687657431
마포구,379525,369903,9622,54260,0.9746472564389698,0.025352743561030237,0.14296818391410315,2421,6.666666666666667
양천구,452255,449010,3245,67880,0.9928248443908857,0.0071751556091143275,0.15009231517617275,3312,0.0
강서구,581265,575875,5390,91505,0.9907271210205328,0.009272878979467197,0.1574238944371328,2560,34.55056179775281
구로구,422361,397506,24855,71930,0.9411522370673429,0.05884776293265714,0.1703045498992568,4075,0.0
금천구,244887,230644,14243,40691,0.9418384806053404,0.05816151939465958,0.166162352431938,2374,1.7716535433070866
영등포구,401814,377536,24278,62108,0.9395790091933084,0.06042099080669165,0.15456902945143772,3778,0.4122011541632316
동작구,396122,387117,9005,66306,0.9772671045788923,0.022732895421107638,0.16738782496301643,2297,2.6252983293556085
관악구,501572,488029,13543,79444,0.9729988914851706,0.027001108514829376,0.15839002177155023,4942,10.27190332326284
서초구,420045,416285,3760,60493,0.9910485781285339,0.008951421871466152,0.1440155221464367,3704,0.7142857142857143
강남구,538075,533359,4716,77222,0.9912354225712029,0.008764577428797101,0.14351530920410724,6502,0.10615711252653928
송파구,664996,659385,5611,96453,0.9915623552622873,0.008437644737712708,0.14504297770212152,2854,42.97872340425532
강동구,467997,464163,3834,73228,0.9918076397925628,0.008192360207437226,0.15647108848988348,2547,0.0
